meter_id,timestamp,consumption_kwh,voltage_v,current_a,power_factor,status
M-101,2026-09-02 18:00:00,29.21,220.21,133.28,0.947,OK
M-101,2026-09-02 19:00:00,28.76,219.47,129.72,0.943,OK
M-101,2026-09-02 20:00:00,31.81,220.86,133.88,0.944,OK
M-101,2026-09-02 21:00:00,31.4,220.51,134.06,0.957,OK
M-101,2026-09-02 22:00:00,30.08,221.22,138.01,0.922,OK
M-101,2026-09-02 23:00:00,27.39,223.07,138.35,0.937,OK
M-101,2026-09-03 00:00:00,22.47,219.67,108.78,0.927,OK
M-101,2026-09-03 01:00:00,24.0,220.99,103.22,0.938,OK
M-101,2026-09-03 02:00:00,23.55,221.11,108.62,0.95,OK
M-101,2026-09-03 03:00:00,19.96,219.99,104.25,0.922,OK
M-101,2026-09-03 04:00:00,21.72,222.1,103.4,0.92,OK
M-101,2026-09-03 05:00:00,23.09,220.61,102.95,0.955,OK
M-101,2026-09-03 06:00:00,30.25,220.81,137.41,0.93,OK
M-101,2026-09-03 07:00:00,29.1,221.21,134.13,0.924,OK
M-101,2026-09-03 08:00:00,35.98,224.02,163.08,0.968,OK
M-101,2026-09-03 09:00:00,34.56,219.24,161.54,0.931,OK
M-101,2026-09-03 10:00:00,36.31,220.13,166.02,0.93,OK
M-101,2026-09-03 11:00:00,32.62,219.73,161.91,0.932,OK
M-101,2026-09-03 12:00:00,34.52,218.89,162.12,0.918,OK
M-101,2026-09-03 13:00:00,39.03,219.68,158.54,0.968,OK
M-101,2026-09-03 14:00:00,40.2,220.56,158.89,0.945,OK
M-101,2026-09-03 15:00:00,38.43,220.71,159.44,0.952,OK
M-101,2026-09-03 16:00:00,36.49,220.84,161.27,0.919,OK
M-101,2026-09-03 17:00:00,35.48,221.28,161.6,0.932,OK
M-101,2026-09-03 18:00:00,30.15,221.19,136.44,0.945,OK
M-101,2026-09-03 19:00:00,29.52,220.13,133.4,0.945,OK
M-101,2026-09-03 20:00:00,29.29,222.89,139.68,0.946,OK
M-101,2026-09-03 21:00:00,28.3,222.43,130.06,0.944,OK
M-101,2026-09-03 22:00:00,30.16,222.11,128.17,0.947,OK
M-101,2026-09-03 23:00:00,27.77,221.32,131.99,0.941,OK
M-101,2026-09-04 00:00:00,22.6,220.7,104.09,0.942,OK
M-101,2026-09-04 01:00:00,25.25,220.72,96.7,0.943,OK
M-101,2026-09-04 02:00:00,23.48,218.89,103.28,0.945,OK
M-101,2026-09-04 03:00:00,25.63,222.04,99.8,0.935,OK
M-101,2026-09-04 04:00:00,22.95,220.6,101.24,0.96,OK
M-101,2026-09-04 05:00:00,23.91,222.41,109.6,0.947,OK
M-101,2026-09-04 06:00:00,32.06,221.99,134.72,0.936,OK
M-101,2026-09-04 07:00:00,29.54,222.19,131.31,0.922,OK
M-101,2026-09-04 08:00:00,37.01,222.41,161.83,0.951,OK
M-101,2026-09-04 09:00:00,38.57,219.11,164.59,0.939,OK
M-101,2026-09-04 10:00:00,34.08,222.81,160.85,0.95,OK
M-101,2026-09-04 11:00:00,34.79,221.04,159.36,0.922,OK
M-101,2026-09-04 12:00:00,34.83,222.39,163.34,0.949,OK
M-101,2026-09-04 13:00:00,32.4,221.09,163.31,0.946,OK
M-101,2026-09-04 14:00:00,38.26,220.29,156.21,0.949,OK
M-101,2026-09-04 15:00:00,33.47,221.44,166.83,0.953,OK
M-101,2026-09-04 16:00:00,34.98,222.28,164.84,0.943,OK
M-101,2026-09-04 17:00:00,36.19,219.96,163.21,0.938,OK
M-101,2026-09-04 18:00:00,29.21,222.2,134.55,0.924,OK
M-101,2026-09-04 19:00:00,29.25,220.11,137.84,0.928,OK
M-101,2026-09-04 20:00:00,29.74,221.01,135.93,0.96,OK
M-101,2026-09-04 21:00:00,30.73,221.66,135.93,0.975,OK
M-101,2026-09-04 22:00:00,29.13,222.93,127.39,0.933,OK
M-101,2026-09-04 23:00:00,29.6,219.08,137.33,0.921,OK
M-101,2026-09-05 00:00:00,20.64,221.53,102.02,0.948,OK
M-101,2026-09-05 01:00:00,23.45,218.23,100.16,0.941,OK
M-101,2026-09-05 02:00:00,22.33,221.84,105.78,0.942,OK
M-101,2026-09-05 03:00:00,24.18,221.64,105.09,0.929,OK
M-101,2026-09-05 04:00:00,22.77,221.98,104.99,0.934,OK
M-101,2026-09-05 05:00:00,23.82,220.86,103.6,0.952,OK
M-101,2026-09-05 06:00:00,26.45,219.22,129.51,0.905,OK
M-101,2026-09-05 07:00:00,28.42,220.66,135.65,0.943,OK
M-101,2026-09-05 08:00:00,37.47,220.92,166.38,0.96,OK
M-101,2026-09-05 09:00:00,35.98,220.29,159.89,0.918,OK
M-101,2026-09-05 10:00:00,34.51,221.96,161.33,0.966,OK
M-101,2026-09-05 11:00:00,33.77,219.75,163.58,0.947,OK
M-101,2026-09-05 12:00:00,35.64,222.11,156.91,0.931,OK
M-101,2026-09-05 13:00:00,35.04,220.21,159.19,0.946,OK
M-101,2026-09-05 14:00:00,35.56,221.43,163.39,0.96,OK
M-101,2026-09-05 15:00:00,35.33,222.28,157.97,0.935,OK
M-101,2026-09-05 16:00:00,37.51,220.84,163.55,0.945,OK
M-101,2026-09-05 17:00:00,38.77,221.08,168.63,0.942,OK
M-101,2026-09-05 18:00:00,31.05,221.4,130.86,0.94,OK
M-101,2026-09-05 19:00:00,29.91,219.09,130.9,0.909,OK
M-101,2026-09-05 20:00:00,27.76,220.65,132.02,0.969,OK
M-101,2026-09-05 21:00:00,31.1,221.42,130.51,0.934,OK
M-101,2026-09-05 22:00:00,29.01,221.74,133.96,0.935,OK
M-101,2026-09-05 23:00:00,31.04,221.01,129.97,0.979,OK
M-101,2026-09-06 00:00:00,23.37,221.11,108.7,0.949,OK
M-101,2026-09-06 01:00:00,22.95,220.06,103.89,0.946,OK
M-101,2026-09-06 02:00:00,21.76,222.3,106.4,0.945,OK
M-101,2026-09-06 03:00:00,22.61,220.63,105.76,0.954,OK
M-101,2026-09-06 04:00:00,20.29,218.61,103.39,0.918,OK
M-101,2026-09-06 05:00:00,25.09,220.14,107.09,0.917,OK
M-101,2026-09-06 06:00:00,24.99,223.9,131.77,0.947,OK
M-101,2026-09-06 07:00:00,28.6,219.13,134.8,0.936,OK
M-101,2026-09-06 08:00:00,35.99,221.95,162.14,0.945,OK
M-101,2026-09-06 09:00:00,36.84,222.08,160.33,0.964,OK
M-101,2026-09-06 10:00:00,34.38,222.6,159.74,0.937,OK
M-101,2026-09-06 11:00:00,37.95,222.75,161.07,0.942,OK
M-101,2026-09-06 12:00:00,36.23,220.57,167.09,0.926,OK
M-101,2026-09-06 13:00:00,35.17,219.12,163.76,0.95,OK
M-101,2026-09-06 14:00:00,35.03,218.13,165.84,0.928,OK
M-101,2026-09-06 15:00:00,33.31,221.3,159.92,0.937,OK
M-101,2026-09-06 16:00:00,35.46,221.24,161.92,0.925,OK
M-101,2026-09-06 17:00:00,36.9,221.46,164.39,0.948,OK
M-101,2026-09-06 18:00:00,29.88,220.9,139.51,0.935,OK
M-101,2026-09-06 19:00:00,28.31,219.51,130.3,0.927,OK
M-101,2026-09-06 20:00:00,29.33,221.06,134.4,0.929,OK
M-101,2026-09-06 21:00:00,30.79,220.81,135.62,0.93,OK
M-101,2026-09-06 22:00:00,30.26,219.26,133.96,0.939,OK
M-101,2026-09-06 23:00:00,29.83,221.23,130.7,0.918,OK
M-101,2026-09-07 00:00:00,25.04,220.7,108.14,0.945,OK
M-101,2026-09-07 01:00:00,19.43,220.65,100.93,0.924,OK
M-101,2026-09-07 02:00:00,24.11,219.59,110.39,0.927,OK
M-101,2026-09-07 03:00:00,23.39,219.53,109.23,0.944,OK
M-101,2026-09-07 04:00:00,25.77,219.46,99.44,0.934,OK
M-101,2026-09-07 05:00:00,22.26,221.29,106.84,0.913,OK
M-101,2026-09-07 06:00:00,30.21,222.53,131.67,0.931,OK
M-101,2026-09-07 07:00:00,28.49,221.92,135.02,0.947,OK
M-101,2026-09-07 08:00:00,33.31,219.76,164.01,0.944,OK
M-101,2026-09-07 09:00:00,33.7,220.03,163.74,0.921,OK
M-101,2026-09-07 10:00:00,36.91,220.26,163.12,0.962,OK
M-101,2026-09-07 11:00:00,35.18,221.32,162.5,0.931,OK
M-101,2026-09-07 12:00:00,36.55,220.51,160.8,0.96,OK
M-101,2026-09-07 13:00:00,34.28,222.93,155.16,0.978,OK
M-101,2026-09-07 14:00:00,35.23,220.63,156.59,0.936,OK
M-101,2026-09-07 15:00:00,35.56,221.7,159.06,0.948,OK
M-101,2026-09-07 16:00:00,33.6,223.46,164.5,0.943,OK
M-101,2026-09-07 17:00:00,35.33,221.74,161.97,0.914,OK
M-101,2026-09-07 18:00:00,29.69,223.22,132.23,0.937,OK
M-101,2026-09-07 19:00:00,31.94,221.7,130.09,0.945,OK
M-101,2026-09-07 20:00:00,28.14,222.46,133.93,0.935,OK
M-101,2026-09-07 21:00:00,26.9,219.92,133.35,0.935,OK
M-101,2026-09-07 22:00:00,29.32,219.06,128.28,0.947,OK
M-101,2026-09-07 23:00:00,28.66,221.94,125.71,0.944,OK
M-101,2026-09-08 00:00:00,21.97,222.0,100.45,0.945,OK
M-101,2026-09-08 01:00:00,26.61,221.47,105.66,0.937,OK
M-101,2026-09-08 02:00:00,24.27,222.5,106.28,0.932,OK
M-101,2026-09-08 03:00:00,22.39,221.95,102.96,0.962,OK
M-101,2026-09-08 04:00:00,22.35,221.38,103.13,0.936,OK
M-101,2026-09-08 05:00:00,24.47,220.01,97.64,0.928,OK
M-101,2026-09-08 06:00:00,25.96,219.9,130.51,0.937,OK
M-101,2026-09-08 07:00:00,31.11,219.76,132.66,0.939,OK
M-101,2026-09-08 08:00:00,37.41,219.91,159.47,0.948,OK
M-101,2026-09-08 09:00:00,35.51,220.98,164.34,0.951,OK
M-101,2026-09-08 10:00:00,34.29,220.75,162.36,0.922,OK
M-101,2026-09-08 11:00:00,33.49,220.58,164.46,0.925,OK
M-101,2026-09-08 12:00:00,35.7,218.26,165.78,0.918,OK
M-101,2026-09-08 13:00:00,34.46,221.34,166.78,0.952,OK
M-101,2026-09-08 14:00:00,34.13,221.54,159.04,0.941,OK
M-101,2026-09-08 15:00:00,36.66,221.33,161.84,0.942,OK
M-101,2026-09-08 16:00:00,37.01,219.06,164.82,0.906,OK
M-101,2026-09-08 17:00:00,37.34,219.78,165.96,0.912,OK
M-101,2026-09-08 18:00:00,29.59,223.16,136.19,0.948,OK
M-101,2026-09-08 19:00:00,28.88,221.01,130.72,0.936,OK
M-101,2026-09-08 20:00:00,27.92,223.14,139.55,0.957,OK
M-101,2026-09-08 21:00:00,28.06,221.77,135.97,0.947,OK
M-101,2026-09-08 22:00:00,31.31,221.89,135.31,0.95,OK
M-101,2026-09-08 23:00:00,29.95,221.1,128.05,0.932,OK
M-101,2026-09-09 00:00:00,21.12,223.07,109.45,0.96,OK
M-101,2026-09-09 01:00:00,23.42,221.01,108.45,0.943,OK
M-101,2026-09-09 02:00:00,21.4,221.07,105.59,0.92,OK
M-101,2026-09-09 03:00:00,22.96,223.16,104.16,0.953,OK
M-101,2026-09-09 04:00:00,23.06,221.05,105.15,0.937,OK
M-101,2026-09-09 05:00:00,21.42,220.1,103.95,0.921,OK
M-101,2026-09-09 06:00:00,30.21,218.86,134.57,0.938,OK
M-101,2026-09-09 07:00:00,30.93,222.23,136.58,0.941,OK
M-101,2026-09-09 08:00:00,34.57,221.41,159.15,0.946,OK
M-101,2026-09-09 09:00:00,37.77,220.84,165.7,0.921,OK
M-101,2026-09-09 10:00:00,35.36,220.76,163.05,0.931,OK
M-101,2026-09-09 11:00:00,36.22,220.25,160.89,0.945,OK
M-101,2026-09-09 12:00:00,35.24,221.33,163.13,0.923,OK
M-101,2026-09-09 13:00:00,35.12,219.61,166.71,0.908,OK
M-101,2026-09-09 14:00:00,33.05,221.04,162.49,0.938,OK
M-101,2026-09-09 15:00:00,37.66,221.48,154.38,0.963,OK
M-101,2026-09-09 16:00:00,34.15,220.1,161.26,0.927,OK
M-101,2026-09-09 17:00:00,35.35,223.2,166.68,0.935,OK
M-101,2026-09-09 18:00:00,32.3,223.1,133.51,0.939,OK
M-101,2026-09-09 19:00:00,29.64,224.81,134.5,0.953,OK
M-101,2026-09-09 20:00:00,28.38,220.57,136.31,0.933,OK
M-101,2026-09-09 21:00:00,30.8,221.33,133.49,0.94,OK
M-101,2026-09-09 22:00:00,29.94,218.68,134.67,0.95,OK
M-101,2026-09-09 23:00:00,27.97,220.93,129.07,0.941,OK
M-101,2026-09-10 00:00:00,22.0,219.39,106.89,0.934,OK
M-101,2026-09-10 01:00:00,22.16,221.33,104.26,0.925,OK
M-101,2026-09-10 02:00:00,24.13,218.73,104.59,0.911,OK
M-101,2026-09-10 03:00:00,23.02,220.88,103.74,0.94,OK
M-101,2026-09-10 04:00:00,23.38,219.67,107.24,0.922,OK
M-101,2026-09-10 05:00:00,21.4,222.49,105.27,0.934,OK
M-101,2026-09-10 06:00:00,25.69,220.0,128.29,0.932,OK
M-101,2026-09-10 07:00:00,28.83,220.63,133.52,0.956,OK
M-101,2026-09-10 08:00:00,34.83,221.57,159.81,0.917,OK
M-101,2026-09-10 09:00:00,36.42,220.82,162.71,0.964,OK
M-101,2026-09-10 10:00:00,34.91,220.73,168.58,0.921,OK
M-101,2026-09-10 11:00:00,35.94,220.1,159.17,0.946,OK
M-101,2026-09-10 12:00:00,36.67,222.18,160.53,0.957,OK
M-101,2026-09-10 13:00:00,37.99,222.64,163.99,0.912,OK
M-101,2026-09-10 14:00:00,35.36,221.14,159.8,0.931,OK
M-101,2026-09-10 15:00:00,35.59,220.8,168.05,0.946,OK
M-101,2026-09-10 16:00:00,35.49,221.01,162.63,0.947,OK
M-101,2026-09-10 17:00:00,37.59,221.37,167.34,0.949,OK
M-101,2026-09-10 18:00:00,27.71,222.13,133.14,0.953,OK
M-101,2026-09-10 19:00:00,29.76,221.59,136.06,0.958,OK
M-101,2026-09-10 20:00:00,29.87,221.4,132.33,0.896,OK
M-101,2026-09-10 21:00:00,30.01,218.93,122.45,0.947,OK
M-101,2026-09-10 22:00:00,30.16,220.15,129.91,0.961,OK
M-101,2026-09-10 23:00:00,28.71,221.0,140.13,0.946,OK
M-101,2026-09-11 00:00:00,25.47,219.8,104.79,0.938,OK
M-101,2026-09-11 01:00:00,22.99,220.69,100.31,0.929,OK
M-101,2026-09-11 02:00:00,24.43,220.66,104.5,0.938,OK
M-101,2026-09-11 03:00:00,23.37,219.8,106.25,0.924,OK
M-101,2026-09-11 04:00:00,24.7,219.3,103.16,0.947,OK
M-101,2026-09-11 05:00:00,23.74,221.28,99.81,0.951,OK
M-101,2026-09-11 06:00:00,30.0,219.31,135.3,0.945,OK
M-101,2026-09-11 07:00:00,28.99,222.04,131.95,0.962,OK
M-101,2026-09-11 08:00:00,38.53,220.87,166.34,0.945,OK
M-101,2026-09-11 09:00:00,36.99,221.16,162.76,0.952,OK
M-101,2026-09-11 10:00:00,35.75,220.5,160.21,0.95,OK
M-101,2026-09-11 11:00:00,35.84,221.8,163.42,0.934,OK
M-101,2026-09-11 12:00:00,36.97,219.52,163.54,0.962,OK
M-101,2026-09-11 13:00:00,35.09,219.75,157.43,0.925,OK
M-101,2026-09-11 14:00:00,35.92,220.6,161.58,0.949,OK
M-101,2026-09-11 15:00:00,36.35,221.49,163.35,0.949,OK
M-101,2026-09-11 16:00:00,32.68,218.38,161.31,0.941,OK
M-101,2026-09-11 17:00:00,35.83,222.43,165.54,0.943,OK
M-101,2026-09-11 18:00:00,28.69,220.37,134.86,0.94,OK
M-101,2026-09-11 19:00:00,30.92,221.97,131.73,0.95,OK
M-101,2026-09-11 20:00:00,28.01,221.84,136.32,0.942,OK
M-101,2026-09-11 21:00:00,28.3,220.35,130.82,0.948,OK
M-101,2026-09-11 22:00:00,28.01,219.51,134.71,0.937,OK
M-101,2026-09-11 23:00:00,29.6,219.35,140.74,0.962,OK
M-101,2026-09-12 00:00:00,23.26,221.14,105.63,0.947,OK
M-101,2026-09-12 01:00:00,22.81,220.45,108.76,0.957,OK
M-101,2026-09-12 02:00:00,22.07,219.71,104.22,0.947,OK
M-101,2026-09-12 03:00:00,25.21,220.76,104.17,0.923,OK
M-101,2026-09-12 04:00:00,22.7,219.9,99.62,0.943,OK
M-101,2026-09-12 05:00:00,25.02,220.3,112.83,0.962,OK
M-101,2026-09-12 06:00:00,29.81,221.52,132.95,0.941,OK
M-101,2026-09-12 07:00:00,29.61,219.32,132.18,0.917,OK
M-101,2026-09-12 08:00:00,36.82,220.28,161.57,0.94,OK
M-101,2026-09-12 09:00:00,37.03,220.21,162.94,0.958,OK
M-101,2026-09-12 10:00:00,38.21,222.17,163.88,0.959,OK
M-101,2026-09-12 11:00:00,37.54,221.72,164.24,0.948,OK
M-101,2026-09-12 12:00:00,34.19,219.37,164.5,0.928,OK
M-101,2026-09-12 13:00:00,37.8,222.78,164.92,0.936,OK
M-101,2026-09-12 14:00:00,34.11,221.12,161.68,0.941,OK
M-101,2026-09-12 15:00:00,37.54,221.42,161.32,0.925,OK
M-101,2026-09-12 16:00:00,36.52,220.1,162.41,0.936,OK
M-101,2026-09-12 17:00:00,35.56,223.13,161.59,0.939,OK
M-101,2026-09-12 18:00:00,29.07,219.93,127.11,0.936,OK
M-101,2026-09-12 19:00:00,28.41,220.8,137.55,0.959,OK
M-101,2026-09-12 20:00:00,29.53,220.89,133.51,0.94,OK
M-101,2026-09-12 21:00:00,32.02,218.6,126.44,0.932,OK
M-101,2026-09-12 22:00:00,29.46,221.57,135.47,0.934,OK
M-101,2026-09-12 23:00:00,30.97,221.22,136.49,0.954,OK
M-101,2026-09-13 00:00:00,23.45,221.84,102.72,0.942,OK
M-101,2026-09-13 01:00:00,23.04,218.06,108.82,0.919,OK
M-101,2026-09-13 02:00:00,21.26,220.69,103.31,0.917,OK
M-101,2026-09-13 03:00:00,21.56,223.95,101.82,0.967,OK
M-101,2026-09-13 04:00:00,22.42,219.62,103.31,0.911,OK
M-101,2026-09-13 05:00:00,22.86,220.9,101.41,0.916,OK
M-101,2026-09-13 06:00:00,28.3,221.44,133.85,0.946,OK
M-101,2026-09-13 07:00:00,27.46,220.04,135.96,0.949,OK
M-101,2026-09-13 08:00:00,35.82,220.62,158.27,0.945,OK
M-101,2026-09-13 09:00:00,36.76,222.84,161.98,0.955,OK
M-101,2026-09-13 10:00:00,35.46,223.32,164.65,0.969,OK
M-101,2026-09-13 11:00:00,34.0,222.78,159.62,0.924,OK
M-101,2026-09-13 12:00:00,33.86,221.5,160.94,0.938,OK
M-101,2026-09-13 13:00:00,34.86,220.15,160.38,0.927,OK
M-101,2026-09-13 14:00:00,39.26,222.06,163.29,0.933,OK
M-101,2026-09-13 15:00:00,35.56,217.82,160.26,0.919,OK
M-101,2026-09-13 16:00:00,33.12,219.57,155.65,0.96,OK
M-101,2026-09-13 17:00:00,35.77,221.49,166.27,0.952,OK
M-101,2026-09-13 18:00:00,28.09,221.87,134.97,0.931,OK
M-101,2026-09-13 19:00:00,30.28,220.34,135.1,0.923,OK
M-101,2026-09-13 20:00:00,27.66,221.39,133.66,0.928,OK
M-101,2026-09-13 21:00:00,29.48,221.74,135.11,0.963,OK
M-101,2026-09-13 22:00:00,31.36,223.02,130.4,0.932,OK
M-101,2026-09-13 23:00:00,31.01,220.51,133.6,0.913,OK
M-101,2026-09-14 00:00:00,22.78,222.16,99.72,0.963,OK
M-101,2026-09-14 01:00:00,21.84,220.13,105.31,0.931,OK
M-101,2026-09-14 02:00:00,24.2,223.09,104.28,0.933,OK
M-101,2026-09-14 03:00:00,24.54,221.95,104.69,0.933,OK
M-101,2026-09-14 04:00:00,22.97,220.0,104.05,0.95,OK
M-101,2026-09-14 05:00:00,24.02,222.84,106.18,0.962,OK
M-101,2026-09-14 06:00:00,28.88,220.25,134.52,0.94,OK
M-101,2026-09-14 07:00:00,28.54,221.44,138.26,0.937,OK
M-101,2026-09-14 08:00:00,37.63,218.58,155.89,0.952,OK
M-101,2026-09-14 09:00:00,35.93,219.41,163.15,0.94,OK
M-101,2026-09-14 10:00:00,38.85,221.2,164.87,0.933,OK
M-101,2026-09-14 11:00:00,35.25,221.31,156.01,0.953,OK
M-101,2026-09-14 12:00:00,33.48,219.61,160.42,0.926,OK
M-101,2026-09-14 13:00:00,35.92,221.74,156.15,0.951,OK
M-101,2026-09-14 14:00:00,35.46,219.8,154.96,0.958,OK
M-101,2026-09-14 15:00:00,31.67,219.58,161.36,0.952,OK
M-101,2026-09-14 16:00:00,34.83,221.68,163.61,0.968,OK
M-101,2026-09-14 17:00:00,35.54,219.22,163.53,0.958,OK
M-101,2026-09-14 18:00:00,28.3,220.97,131.72,0.917,OK
M-101,2026-09-14 19:00:00,29.78,221.35,136.3,0.916,OK
M-101,2026-09-14 20:00:00,29.25,218.75,135.63,0.924,OK
M-101,2026-09-14 21:00:00,30.75,221.49,134.21,0.968,OK
M-101,2026-09-14 22:00:00,30.14,224.25,135.37,0.937,OK
M-101,2026-09-14 23:00:00,28.24,221.53,134.68,0.932,OK
M-102,2026-09-01 00:00:00,29.82,220.39,149.49,0.919,OK
M-102,2026-09-01 01:00:00,33.33,219.7,142.23,0.938,OK
M-102,2026-09-01 02:00:00,29.35,222.3,143.62,0.937,OK
M-102,2026-09-01 03:00:00,31.0,219.51,141.04,0.926,OK
M-102,2026-09-01 04:00:00,31.0,217.92,145.31,0.943,OK
M-102,2026-09-01 05:00:00,31.0,218.65,143.69,0.95,OK
M-102,2026-09-01 06:00:00,42.72,218.18,185.04,0.942,OK
M-102,2026-09-01 07:00:00,41.21,219.97,177.34,0.935,OK
M-102,2026-09-01 08:00:00,50.28,220.35,222.29,0.952,OK
M-102,2026-09-01 09:00:00,51.49,219.62,213.16,0.928,OK
M-102,2026-09-01 10:00:00,46.13,221.5,222.04,0.914,OK
M-102,2026-09-01 11:00:00,49.89,219.19,219.01,0.952,OK
M-102,2026-09-01 12:00:00,48.3,217.75,223.15,0.958,OK
M-102,2026-09-01 13:00:00,50.36,220.69,221.21,0.909,OK
M-102,2026-09-01 14:00:00,51.41,219.76,220.79,0.923,OK
M-102,2026-09-01 15:00:00,48.23,220.31,223.84,0.94,OK
M-102,2026-09-01 16:00:00,49.26,219.5,223.3,0.963,OK
M-102,2026-09-01 17:00:00,46.46,221.64,225.54,0.917,OK
M-102,2026-09-01 18:00:00,44.49,221.17,185.15,0.93,OK
M-102,2026-09-01 19:00:00,40.09,220.47,181.53,0.951,OK
M-102,2026-09-01 20:00:00,40.81,220.99,179.43,0.944,OK
M-102,2026-09-01 21:00:00,41.66,219.67,184.4,0.916,OK
M-102,2026-09-01 22:00:00,38.92,220.28,177.25,0.929,OK
M-102,2026-09-01 23:00:00,39.69,218.5,173.29,0.947,OK
M-102,2026-09-02 00:00:00,30.48,218.33,143.64,0.952,OK
M-102,2026-09-02 01:00:00,31.42,222.79,143.43,0.953,OK
M-102,2026-09-02 02:00:00,31.13,219.61,140.78,0.938,OK
M-102,2026-09-02 03:00:00,31.49,221.76,141.37,0.928,OK
M-102,2026-09-02 04:00:00,35.82,222.14,142.83,0.935,OK
M-102,2026-09-02 05:00:00,33.41,218.98,140.39,0.937,OK
M-102,2026-09-02 06:00:00,42.26,218.46,182.28,0.91,OK
M-102,2026-09-02 07:00:00,37.91,220.13,176.86,0.947,OK
M-102,2026-09-02 08:00:00,49.26,219.77,214.98,0.928,OK
M-102,2026-09-02 09:00:00,53.05,219.53,217.39,0.956,OK
M-102,2026-09-02 10:00:00,50.09,220.14,223.45,0.935,OK
M-102,2026-09-02 11:00:00,50.68,221.05,219.33,0.909,OK
M-102,2026-09-02 12:00:00,49.87,219.26,222.3,0.93,OK
M-102,2026-09-02 13:00:00,48.16,219.58,218.54,0.913,OK
M-102,2026-09-02 14:00:00,49.86,220.85,218.31,0.912,OK
M-102,2026-09-02 15:00:00,48.26,221.59,219.89,0.935,OK
M-102,2026-09-02 16:00:00,48.9,217.47,223.26,0.929,OK
M-102,2026-09-02 17:00:00,52.88,220.08,222.16,0.938,OK
M-102,2026-09-02 18:00:00,42.09,217.98,176.17,0.933,OK
M-102,2026-09-02 19:00:00,39.19,219.62,186.1,0.901,OK
M-102,2026-09-02 20:00:00,38.2,219.72,173.91,0.927,OK
M-102,2026-09-02 21:00:00,39.72,221.44,185.4,0.927,OK
M-102,2026-09-02 22:00:00,36.64,220.67,184.01,0.935,OK
M-102,2026-09-02 23:00:00,42.25,222.41,178.67,0.916,OK
M-102,2026-09-03 00:00:00,33.03,218.88,137.5,0.953,OK
M-102,2026-09-03 01:00:00,31.21,220.28,145.08,0.928,OK
